id_univoco,hash_contenuto,titolo,testo_completo,data_pubblicazione,fonte,link,ente_origine,paese,importo_eur,azienda_sanzionata,tipo_violazione,data_scraping,fonte_tecnica,ong_collegata,Ambito_Geografico,livello_allarme,Entita_Coinvolte,Sentiment_Direzione,Parole_Chiave,topic_label,confidence,cluster_id,is_primary
28243d046b8a22d64b643b19ac47076dcdd74e5ae275292b883f218a5a201023,fae77dc4aefc49076061f24a42242443503d1472dc4d989ad6d5e17f8ae5b15d,[Spain] Google LLC – AEPD (Spain),"[Spain] Google LLC – AEPD (Spain). Articoli: Article 17 GDPR. Tipo: Complaint. Sommario: The Spanish DAP ordered Google to delist an article based on the ""right to be forgotten"". ==English Summary== ===Facts=== The AEPD issued a decision related to the right to be forgotten under Directive 95/46/EC. Google LLC (Google Spain, S.L) did not respond to a deletion request. ===Holding=== The AEPD ordered Google LLC to comply with a request to delete personal data. It mainly based its decision on the CJEU judgement in [http://curia.europa.eu/juris/document/document.jsf;jsessionid=F",04.11.2019,GDPR Fines - enforcementtracker/gdprhub,https://www.aepd.es/es/documento/td-00185-2019.pdf,AEPD (Spain),Spain,,Google LLC,Complaint,2026-05-23T01:14:37.096853,gdprhub.eu,Amnesty Italia,Italia,2,"['Spain || Stati e Luoghi', 'Holding=== The Aepd Ordered Google Llc To || Stati e Luoghi', 'Facts=== The Aepd Issued || Stati e Luoghi', 'GDPR || Leggi e Regolamentazioni || EU', 'ICO || Istituzioni || Regno Unito', 'AEPD || Istituzioni || Spagna']",NEUTRALE,"['google', 'to', 'aepd', 'spain', 'the']",Non classificato,0.0,-1,True
8869d024c7cc8f2ae707ef6462666373928322019fc2beb5846fe1ac31fac1b8,c745cadd9b5129856a36f3ef104c14c9d181ce7d8fc88c3058bf7fbf511fb27a,[Romania] Raiffeisen Bank S.A – ANSPDCP (Romania),"[Romania] Raiffeisen Bank S.A – ANSPDCP (Romania). Articoli: Article 32(1) GDPR. Tipo: Investigation. Sommario: The ANSPDCP finalised two investigations at Raiffeisen Bank S.A. and Vreau Credit S.R.L. and fined the two data controllers for violation of Article 32(1), (2) and (4) GDPR. ==ANSDPCP English press release== On the 1st of October 2019, the National Supervisory Authority finalised two investigations at Raiffeisen Bank S.A. and Vreau Credit S.R.L. noting the following: Raiffeisen Bank S.A. infringed the provisions of Article 32 paragraph (4) in conjunction with Article 32 paragraph (1) and",01.10.2019,GDPR Fines - enforcementtracker/gdprhub,https://www.dataprotection.ro/?page=Comunicat_Presa_09_10_2019&lang=en,ANSPDCP (Romania),Romania,170000.0,Raiffeisen Bank S.A,Investigation,2026-05-23T01:14:37.787155,gdprhub.eu,Amnesty Italia,Italia,2,"['Raiffeisen Bank S.A. And Vreau Credit S.R.L. And Fined The Two || Aziende e Org Private', 'Romania || Stati e Luoghi', 'Raiffeisen Bank S.A – Anspdcp || Aziende e Org Private', 'Raiffeisen Bank S.A. || Aziende e Org Private', 'Raiffeisen Bank S.A. And Vreau Credit || Aziende e Org Private', 'GDPR || Leggi e Regolamentazioni || EU', 'ICO || Istituzioni || Regno Unito']",NEUTRALE,"['bank', '32', 'two', 'romania', 'anspdcp']",Non classificato,0.0,-1,True
b53fc9698b7c8fcbae28c32f5650c76c55bdbc15578bda5a95cb18d1fc7dadfa,6abaea746b90b1fd4ff0cbd8ea718705af249242dace70d6f0cd477c084d4381,[Belgium] Anonymous – APD/GBA (Belgium),"[Belgium] Anonymous – APD/GBA (Belgium). Articoli: Article 5(1)(c) GDPR. Tipo: Complaint. Sommario: The Belgian DPA (APD/GBA) fined € 10000 for requiring an ID to issue a new loyalty card, which violated the principle of data minimisation. ==English Summary== ===Facts=== The controller asked to a costumer to provide their electronic ID card for the creation of a loyalty card. The costumer did not want the data controller to use their electronic ID card, but only wanted to provide the data in written form. The controller refused to issue the loyalty card. Following the refusal, the costum",31.10.2019,GDPR Fines - enforcementtracker/gdprhub,https://autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-06-2019.pdf,APD/GBA (Belgium),Belgium,10000.0,Anonymous,Complaint,2026-05-23T01:14:38.506174,gdprhub.eu,Amnesty Italia,USA / Internazionale,2,"['Article || Personaggi Pubblici', 'Belgium || Stati e Luoghi', 'GDPR || Leggi e Regolamentazioni || EU', 'ICO || Istituzioni || Regno Unito']",NEUTRALE,"['the', 'apd', 'belgium', 'gba', 'their']",Non classificato,0.0,-1,True
549b2bbc73929b5041fb8660401783ddb5959454f22c2bb5431323bfcd01405c,a6c6111a5c532701c53506ede556db7fce05b22b848c9aca8013dd4a5ab08a43,[Netherlands] Menzis – AP (The Netherlands),"[Netherlands] Menzis – AP (The Netherlands). Articoli: Article 32 GDPR. Tipo: Investigation. Sommario: The AP fined the health insurance companies Menzis and VGZ € 50.000 for insufficient security measures under [[Article 32 GDPR]]. ==English Summary== <b>Translated summary by the [[AP (The Netherlands)]]:</b><ref>https://autoriteitpersoonsgegevens.nl/nl/nieuws/sancties-voor-menzis-en-vgz-voor-overtreding-van-de-privacywet</ref> In 2018, the Authority for Personal Data (AP) imposed a penalty payment on two health insurers, VGZ and Menzis, for failure to comply with the Privacy Act. Both he",04.11.2019,GDPR Fines - enforcementtracker/gdprhub,https://autoriteitpersoonsgegevens.nl/nl/nieuws/sancties-voor-menzis-en-vgz-voor-overtreding-van-de-privacywet,AP (The Netherlands),Netherlands,50000.0,Menzis,Investigation,2026-05-23T01:14:39.253304,gdprhub.eu,Amnesty Italia,Italia,2,"['The Netherlands || Aziende e Org Private', 'Menzis || Stati e Luoghi', 'Netherlands || Stati e Luoghi', 'GDPR || Leggi e Regolamentazioni || EU', 'ICO || Istituzioni || Regno Unito']",NEUTRALE,"['ap', 'the', '32', 'for', 'two']",Non classificato,0.0,-1,True
6e7e19e97069fc3ad2f9ffb22a3f400b7f9565860acf9ba14e8738d4e09cdd6b,259afa0c1a98ef7086a89c80bf42adaf8eff6b73433909485fe5dc591e045411,[Austria] Österreichische Post AG – DSB (Austria),"[Austria] Österreichische Post AG – DSB (Austria). Articoli: Article 6(1)(f) GDPR. Tipo: Investigation. Sommario: The DSB fined the Austrian Postal Service a record fine of € 18 Mio for generating the likeliness of the political affiliations of Austrian citizens without consent. ==English Summary== ===Facts=== The Austrian postal service (""Österreichische Post AG"", a private stock company, of which 52,9% is owned by the Republic of Austria) also sells data for direct marketing purposes (""list brokerage""). These lists include names and addresses and other factors that are largely generated using othe",29.10.2019,GDPR Fines - enforcementtracker/gdprhub,https://www.dsb.gv.at/dam/jcr:c9c2daf9-9746-4088-bced-dc8e296076e0/Datenschutzbericht_2019.pdf#page=52,DSB (Austria),Austria,18000000.0,Österreichische Post AG,Investigation,2026-05-23T01:14:39.963351,gdprhub.eu,AI Forensics,Italia,2,"['Facts=== The Austrian || Stati e Luoghi', 'Article || Personaggi Pubblici', 'Austria || Stati e Luoghi', 'Österreichische Post Ag – Dsb || Aziende e Org Private', 'GDPR || Leggi e Regolamentazioni || EU', 'ICO || Istituzioni || Regno Unito']",NEUTRALE,"['austria', 'dsb', 'service', 'the', 'of']",Non classificato,0.0,-1,True
afe14f9176f1ea5fc946c66d24d26dd1c8418006231d6583b46aec89b6c94848,816a2f92e225494cba80e7d61099b86d6189f5767a81ecfd53cd5edfb6f21751,[Austria] Anonymous – DSB (Austria),"[Austria] Anonymous – DSB (Austria). Articoli: Article 12(5) GDPR. Tipo: Complaint. Sommario: The DSB found that a fee of €30 for a copy of historic bank transaction data, that is not available via online banking anymore, violates the right to access under [[Article 15 GDPR]]. GDPR is also applicable to cases that were brought under Directive 95/46 but were pending before the DPA on 25. 5. 2018. ==English Summary== ===Facts=== A citizen requested a copy of historic bank transaction data for the past five years in relation to his house management company. Bank transaction data was o",21.05.2018,GDPR Fines - enforcementtracker/gdprhub,https://www.ris.bka.gv.at/Dokument.wxe?ResultFunctionToken=1bc3f128-5499-4e9d-983f-9460bd32ccaf&Position=1&SkipToDocumentPage=True&Abfrage=Dsk&Entscheidungsart=Undefined&Organ=Undefined&SucheNachRechtssatz=True&SucheNachText=True&GZ=&VonDatum=01.01.1990&BisDatum=07.12.2019&Norm=&ImRisSeitVonDatum=&ImRisSeitBisDatum=&ImRisSeit=Undefined&ResultPageSize=100&Suchworte=Bank+Auskunft&Dokumentnummer=DSBT_20180621_DSB_D122_844_0006_DSB_2018_00,DSB (Austria),Austria,,Anonymous,Complaint,2026-05-23T01:14:40.809377,gdprhub.eu,Amnesty Italia,Italia,2,"['Article || Personaggi Pubblici', 'Austria || Stati e Luoghi', 'GDPR || Leggi e Regolamentazioni || EU', 'ICO || Istituzioni || Regno Unito']",NEUTRALE,"['bank', 'dsb', 'austria', 'were', 'under']",Non classificato,0.0,-1,True
e061b0bf5e595a8178c6bcef0d21a5238869945677a5e8c78663db9c370bdc57,0f8c2769ea9917ea0d111cc979a18a4bf94b65dac581f76a50c52fcf90c0f526,[Austria]  – DSB (Austria),"[Austria]  – DSB (Austria). Articoli: Article 5(1)(a) GDPR. Tipo: Investigation. Sommario: The DSB fined a betting store € 5.280 for video surveillance (CCTV) that was recording a wide area in front of the location, without protocols of the usage, without deletion within 72 hours and without public marking of the video surveillance. ==English Summary== ===Facts=== A betting company is running a video surveillance system with two cameras that are mounted next to the entrance of the location. The cameras are filing a wide area of more than 20 meters that goes beyond the immanent",18.09.2018,GDPR Fines - enforcementtracker/gdprhub,https://www.ris.bka.gv.at/Dokumente/Erv/ERV_1999_1_165/ERV_1999_1_165.html,DSB (Austria),Austria,5280.0,,Investigation,2026-05-23T01:14:41.633131,gdprhub.eu,Access Now,USA / Internazionale,2,"['Without Deletion Within 72 Hours And Without Public Marking Of The Video Surveillance || Aziende e Org Private', 'Article || Personaggi Pubblici', 'Austria || Stati e Luoghi', 'Cctv || Aziende e Org Private', 'GDPR || Leggi e Regolamentazioni || EU', 'ICO || Istituzioni || Regno Unito']",NEUTRALE,"['surveillance', 'video', 'without', 'the', 'austria']",Non classificato,0.0,-1,True
14d61d679ddf09e20379cdfc822528dbe716e208c9c11d3d16bf8aa10add11c1,35521f7c3f18545d75402e32f89653c74c3b9a4ec6825673a3ef672d11786196,[Denmark] City of Copenhagen – Datatilsynet (Denmark),"[Denmark] City of Copenhagen – Datatilsynet (Denmark). Articoli: Article 5(1)(c) GDPR. Tipo: Complaint. Sommario: The DPA found that each new citizen's subscription including collection of their personal data for the purpose of handling deletion requests in the Copenhaguen Civil Registration System (CPR) was not necessary for the performance of a task carried out in the plublic interest, under the data minimisation principle and Article 6(1)(e) GDPR. [[Category:Article 6(1)(e) GDPR]] ==English Summary== ===Facts=== A citizen requested the deletion of their personal data into the Copenhagen Civil Regist",25.10.2019,GDPR Fines - enforcementtracker/gdprhub,https://www.datatilsynet.dk/tilsyn-og-afgoerelser/afgoerelser/2019/okt/kommunes-cpr-abonnement-var-i-strid-med-databeskyttelsesreglerne/,Datatilsynet (Denmark),Denmark,,City of Copenhagen,Complaint,2026-05-23T01:14:42.448207,gdprhub.eu,Amnesty Italia,Italia,2,"['Article || Personaggi Pubblici', 'The Copenhaguen Civil Registration System || Aziende e Org Private', 'GDPR || Leggi e Regolamentazioni || EU', 'ICO || Istituzioni || Regno Unito']",NEUTRALE,"['the', 'deletion', 'their', 'denmark', 'citizen']",Non classificato,0.0,-1,True
b53fc9698b7c8fcbae28c32f5650c76c55bdbc15578bda5a95cb18d1fc7dadfa,68ae9be7fdc896cc80fd0e75306e50ef92c8fd511c677438d4fcd6ab52e7c449,[Belgium] Anonymous – APD/GBA (Belgium),"[Belgium] Anonymous – APD/GBA (Belgium). Articoli: Article 12(3) GDPR. Tipo: Complaint. Sommario: The APD/GBA issued a warning because a controller did not delete personal data at request, following job application process. ==English Summary== ===Facts=== A data subject requested the deletion of the personal data held by the data controller in the context of an job application process. The DPA undertook a broader investigation. ===Dispute=== Could the right to be forgotten be restricted in the context of a job application process? ===Holding=== The Belgian DPA found that the contro",31.10.2019,GDPR Fines - enforcementtracker/gdprhub,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-08-2019.pdf,APD/GBA (Belgium),Belgium,,Anonymous,Complaint,2026-05-23T01:14:43.179526,gdprhub.eu,Amnesty Italia,Italia,2,"['Article || Personaggi Pubblici', 'Belgium || Stati e Luoghi', 'Holding=== The Belgian || Stati e Luoghi', 'GDPR || Leggi e Regolamentazioni || EU', 'ICO || Istituzioni || Regno Unito']",NEUTRALE,"['the', 'process', 'belgium', 'gba', 'apd']",Non classificato,0.0,-1,True
ab928955ba1d78b1f761008b9896d282d0bede9736e2dd1805af86c99c95e785,c9b20333ecac06e804fb3a94acf8aacd7122a145a9d1852469e84f8f70d7b3fa,[Germany] Deutsche Wohnen SE – BlnBDI (Berlin),"[Germany] Deutsche Wohnen SE – BlnBDI (Berlin). Articoli: Article 5 GDPR. Tipo: Investigation. Sommario: The Berlin DPA (BlnBDI) fined the real estate company Deutsche Wohnen SE € 14.5 million for violation of [[Article 5 GDPR#1e|Article 5(1)(e)]] and [[Article 25 GDPR#1|Article 25(1) GDPR]] as the company's archive system was structurally unable to delete unnecessary data. ==English Summary== ===Facts=== After having conducted investigations in June 2017, the DPA found that the controller was structurally not deleting data in it's archive. The DPA requested to change the archive system fo",05.11.2019,GDPR Fines - enforcementtracker/gdprhub,https://www.datenschutz-berlin.de/fileadmin/user_upload/pdf/pressemitteilungen/2019/20191105-PM-Bussgeld_DW.pdf,BlnBDI (Berlin),Germany,14500000.0,Deutsche Wohnen SE,Investigation,2026-05-23T01:14:43.871259,gdprhub.eu,AI Forensics,Italia,2,"['Deutsche Wohnen Se – Blnbdi || Stati e Luoghi', 'Facts=== After Having || Stati e Luoghi', 'Germany || Stati e Luoghi', 'Berlin || Stati e Luoghi', 'Deutsche Wohnen Se € 14.5 Million For Violation Of || Aziende e Org Private', 'GDPR || Leggi e Regolamentazioni || EU', 'ICO || Istituzioni || Regno Unito']",NEUTRALE,"['the', 'dpa', 'system', 'article', 'company']",Non classificato,0.0,-1,True
