id_univoco,fonte,data_pubblicazione,data_scraping,titolo,url,tipo_contenuto,lingua,testo_completo,hash_contenuto,fonte_articolo
8e6bcc70eab1d4b712555081fc11fbeaf59de2a745b095850eee0e66f07e23f1,gnews,2026-04-28,2026-04-29T01:37:35.781821,"Roma, una città che pensa: City Vision porta l'intelligenza urbana nella Capitale",https://www.lastampa.it/green-and-blue/dossier/city-vision/2026/04/28/news/city_vision_roma_citta_intelligenti_roadshow_2026_connettivita_ia_governance_urbana-425311125/,notizia,it,"Roma, una città che pensa: City Vision porta l'intelligenza urbana nella Capitale La terza tappa del Roadshow 2026 porta il confronto sulle città intelligenti nel cuore del Paese, tra connettività diffusa, intelligenza artificiale e nuova go…",8e6bcc70eab1d4b712555081fc11fbeaf59de2a745b095850eee0e66f07e23f1,La Stampa
9974555b1a4f104fdbff839663235f2c786aab42b0ece93c8dc1df59703c9435,gnews,2026-04-28,2026-04-29T01:37:35.781821,Pedopornografia su scala internazionale: anche un comasco coinvolto,https://www.laprovinciadicomo.it/stories/premium/como-citta/pedopornografia-su-scala-internazionale-anche-un-comasco-coinvolto-o_3821003_11/,notizia,it,Pedopornografia su scala internazionale: anche un comasco coinvolto La maxi operazione della Polizia condotta con l’Fbi è durata oltre due anni ed è stata possibile grazie all’Intelligenza artificiale,9974555b1a4f104fdbff839663235f2c786aab42b0ece93c8dc1df59703c9435,La Provincia di Como
ee100a235072943fe701d980586a0ad39ee1ae799bb455aba2ac43edf3edc9d1,gnews,2026-04-28,2026-04-29T01:37:35.781821,L’efficacia delle terapie contro il cancro? L’IA le legge sul viso grazie a una foto,https://www.lastampa.it/salute/dossier/labrevolution/2026/04/28/news/invecchiamento-segni-viso-efficacia-terapia-studi-425310771/,notizia,it,"L’efficacia delle terapie contro il cancro? L’IA le legge sul viso grazie a una foto Monitorare l’età biologica grazie all’Intelligenza artificiale consente di stimare il rischio di tumore, di prevedere la sopravvivenza dei pazienti e personali…",ee100a235072943fe701d980586a0ad39ee1ae799bb455aba2ac43edf3edc9d1,La Stampa
57a6902aec9ba4160c41bea8e384f98e29c6b9f211eaf26c3662bc6aeecb2c99,gnews,2026-04-28,2026-04-29T01:37:35.781821,Lettera dei dipendenti Google al ceo: governo non usi Ai per scopi militari,https://www.ilsole24ore.com/art/lettera-dipendenti-google-ceo-governo-non-usi-per-scopi-militari-AIIavakC,notizia,it,Lettera dei dipendenti Google al ceo: governo non usi Ai per scopi militari Più di 560 addetti della controllata di Alphabet scrivono a Sundar Pichai: «L’intelligenza artificiale vada a beneficio dell’umanità»,57a6902aec9ba4160c41bea8e384f98e29c6b9f211eaf26c3662bc6aeecb2c99,Il Sole 24 ORE
5517857e9436f30b52f549b3bf2dafc8f5fed5f7837e79e2b6831c8723ebe218,gnews,2026-04-28,2026-04-29T01:37:35.781821,AX-HP: microcontrollore italiano con AI integrata lanciato da Arox,https://www.ilfattoquotidiano.it/2026/04/28/arox-lancia-ax-hp-un-microcontrollore-made-in-italy-energicamente-efficiente-con-ai-integrata-pensato-per-lindustria-e-la-sicurezza/8345261/,notizia,it,"AX-HP: microcontrollore italiano con AI integrata lanciato da Arox Leggi su Il Fatto Quotidiano.it le caratteristiche di AX-HP, il nuovo microcontrollore made in Italy di Arox con intelligenza artificiale integrata e consumi energetici 10 volte inferiori.",5517857e9436f30b52f549b3bf2dafc8f5fed5f7837e79e2b6831c8723ebe218,Il Fatto Quotidiano
244c89d32b9a38540a24ec4439c403bf08c9a117ab4eda8dd24832808c454b69,gnews,2026-04-28,2026-04-29T01:37:35.781821,"Mozart, Rossini, il jazz: tre modi di “accendere” il cervello",https://www.lastampa.it/speciale/scienza/il-cielo/2026/04/28/news/mozart_rossini_il_jazz_tre_modi_di_accendere_il_cervello-15601963/,notizia,it,"Mozart, Rossini, il jazz: tre modi di “accendere” il cervello Un dialogo con l’Intelligenza Artificiale svela i meccanismi cerebrali che si attivano ascoltando generi musicali diversi. Il “caso Piero Angela”",244c89d32b9a38540a24ec4439c403bf08c9a117ab4eda8dd24832808c454b69,La Stampa
2e787a5043fcb17d963d7634d92edddfe1680f6fcb16bd178f00088e9eb2d028,gnews,2026-04-28,2026-04-29T01:37:35.781821,Un mortaio sulla testa e dieci monete in tasca: l'Intelligenza Artificiale ricostruisce la disperata fuga di due uomini da Pompei durante l'eruzione,https://www.ilfattoquotidiano.it/2026/04/28/un-mortaio-sulla-testa-e-dieci-monete-in-tasca-lintelligenza-artificiale-ricostruisce-la-disperata-fuga-di-due-uomini-da-pompei-durante-leruzione/8368560/,notizia,it,"Un mortaio sulla testa e dieci monete in tasca: l'Intelligenza Artificiale ricostruisce la disperata fuga di due uomini da Pompei durante l'eruzione L'intelligenza Artificiale ha ricostruito gli ultimi istanti di due uomini in fuga dall'eruzione di Pompei, con dettagli sorprendenti sulle loro strategie di sopravvivenza.",2e787a5043fcb17d963d7634d92edddfe1680f6fcb16bd178f00088e9eb2d028,Il Fatto Quotidiano
9c8f580ce5e7cd080566f8df7c4a3976564bc12ffc3aaf211e497a9a820661ab,gnews,2026-04-28,2026-04-29T01:37:35.781821,Pedopornografia online con l’uso dell’intelligenza artificiale. Arresti e denunce in tutta Italia,https://www.quotidiano.net/cronaca/pedopornografia-online-arresti-italia-oggi-vap6a9i6,notizia,it,"Pedopornografia online con l’uso dell’intelligenza artificiale. Arresti e denunce in tutta Italia In manette un uomo di 70 anni con precedenti specifici in provincia di Belluno, uno di 63 anni nella provincia Mantovana e un 28enne della provincia di Como. All’operazione ha collaborato l’Fbi",9c8f580ce5e7cd080566f8df7c4a3976564bc12ffc3aaf211e497a9a820661ab,QUOTIDIANO.NET
9c8f580ce5e7cd080566f8df7c4a3976564bc12ffc3aaf211e497a9a820661ab,gnews,2026-04-28,2026-04-29T01:37:35.781821,Pedopornografia online con l’uso dell’intelligenza artificiale. Arresti e denunce in tutta Italia,https://www.lanazione.it/cronaca/pedopornografia-online-arresti-italia-oggi-vap6a9i6,notizia,it,"Pedopornografia online con l’uso dell’intelligenza artificiale. Arresti e denunce in tutta Italia In manette un uomo di 70 anni con precedenti specifici in provincia di Belluno, uno di 63 anni nella provincia Mantovana e un 28enne della provincia di Como. All’operazione ha collaborato l’Fbi",9c8f580ce5e7cd080566f8df7c4a3976564bc12ffc3aaf211e497a9a820661ab,LA NAZIONE
a6d8bac049c1cabd1e08a8f194dc0d7e678715b2776dcfb4de90399c6cb74d6e,gnews,2026-04-28,2026-04-29T01:37:35.781821,Otofarma rileva impianto a Corsico (Milano): punta a raddoppiare la produzione,https://www.ilsole24ore.com/art/otofarma-rileva-impianto-corsico-milano-punta-raddoppiare-produzione-AIvYJujC,notizia,it,Otofarma rileva impianto a Corsico (Milano): punta a raddoppiare la produzione L’azienda produce impianti acustici realizzati con intelligenza artificiale che permette un’alta personalizzazione,a6d8bac049c1cabd1e08a8f194dc0d7e678715b2776dcfb4de90399c6cb74d6e,Il Sole 24 ORE
